t,chrome_procs,chrome_rss_mb,node_rss_mb,free_mb,swap_used_mb
1044,25,782,96,392,40282.06
1049,25,786,47,78,40236.62
1054,25,770,45,65,39940.56
1059,25,738,45,65,40149.81
1064,25,768,45,203,39917.81
1069,25,716,48,65,40047.75
1074,25,746,53,59,40408.94
1079,25,776,50,109,40411.62
1085,25,779,45,247,40212.12
1090,30,1172,39,70,40609.31
1095,25,814,45,74,40075.00
1100,25,743,42,108,39963.81
1105,25,741,43,361,40305.75
1110,25,782,45,75,40378.31
1115,25,788,43,73,40461.00
1120,25,793,41,64,40366.19
1125,25,780,41,192,40409.88
1130,25,779,45,357,40582.62
1135,25,786,45,258,40494.12
1140,25,775,45,61,39882.25
1145,25,791,43,116,40184.50
1151,25,849,43,63,40248.19
1156,25,828,43,73,40028.06
1161,25,651,126,87,40159.38
1166,25,760,124,79,39855.94
1171,25,732,45,85,39949.19
1176,25,764,232,109,40548.25
1181,25,736,49,83,40357.56
1186,25,790,48,579,40670.88
1191,25,779,48,96,40245.81
1196,34,1733,430,82,40698.31
1201,30,842,46,56,39860.94
1207,34,1697,45,52,41167.50
1212,25,733,49,803,40953.75
1217,25,792,50,65,39939.25
1222,25,795,51,64,39476.00
1227,25,761,48,69,39645.38
1232,25,688,48,77,39760.75
1237,25,752,50,76,39298.06
1242,25,793,50,118,39494.38
1247,25,726,50,399,39474.88
1253,25,670,51,397,39316.19
1258,25,758,49,62,39174.50
1263,25,782,50,84,39247.88
1268,25,773,45,83,39033.50
1273,25,772,43,76,38960.94
1278,25,764,45,55,39294.88
1283,25,768,48,66,39644.94
1288,25,738,50,64,39307.81
1293,25,772,51,109,39361.38
1298,25,764,68,73,39243.62
1303,25,775,68,145,38861.25
1308,25,726,46,223,38790.19
1314,25,735,46,197,38617.12
1319,25,786,45,56,39086.94
1324,25,798,45,64,38956.94
1329,25,756,45,78,38913.25
1334,25,751,48,52,38866.00
1339,25,749,49,134,39077.62
1344,30,1125,42,63,39523.75
1349,25,684,43,102,39107.50
1354,25,778,44,66,39386.19
1359,25,700,44,324,39314.50
1365,30,1049,41,64,39372.69
1370,25,747,46,394,39483.38
1375,25,770,46,190,39132.00
1380,25,679,44,148,38887.75
1385,25,749,44,423,38759.12
1390,25,786,44,452,39092.94
1395,30,1125,42,55,39203.62
1400,25,719,43,79,38870.25
1405,25,752,67,65,38806.75
1410,25,730,64,76,38649.44
1415,30,1157,40,167,39209.88
1420,30,1075,37,72,39409.31
1425,30,1181,40,117,39750.12
1430,30,1147,39,62,39762.31
1436,30,1272,40,79,39573.69
1441,30,1234,40,68,39600.38
1446,25,738,37,388,39675.50
1451,25,695,32,64,38793.75
1456,25,751,35,99,38691.81
1461,25,766,37,89,38799.50
1466,25,757,37,78,38793.19
1471,25,672,35,71,38815.69
1476,25,753,35,64,38593.81
1481,25,777,35,68,38726.94
1486,25,806,35,110,38937.88
1491,25,793,37,55,38849.31
1496,25,791,37,68,39084.38
1501,25,773,35,66,39125.75
1507,25,793,38,75,39103.94
1512,25,736,37,67,39014.94
1517,25,729,38,107,38645.75
1522,25,712,35,65,38826.06
1527,25,756,37,90,38723.19
1532,25,766,37,107,38786.88
1537,25,749,35,70,38683.50
1542,25,737,35,104,38543.94
1547,25,751,37,84,38622.25
1552,25,671,35,63,39680.75
1557,25,735,35,68,39642.62
1562,25,791,35,84,39610.12
1568,25,745,37,65,39505.44
1573,25,775,39,63,39583.00
1578,25,767,37,70,39559.12
1583,25,762,36,62,39557.94
1588,25,690,37,63,39338.69
1593,25,727,105,51,39197.19
1598,25,732,61,62,39412.00
1603,25,629,71,67,39228.38
1609,25,626,67,59,39263.12
1614,25,609,58,62,39320.44
1619,25,699,59,142,39249.75
1624,25,707,61,72,39045.12
1629,25,742,61,58,39199.31
1634,30,1212,67,92,40040.12
1639,25,618,67,110,39558.56
1644,30,1033,61,66,39753.81
1649,25,733,58,101,39749.50
1654,34,1730,42,47,40112.69
1659,25,639,45,338,39836.44
1665,34,1781,40,91,39756.06
1670,30,1224,41,67,39759.88
1675,25,392,19,175,39892.56
1680,25,409,25,71,40175.50
1685,25,614,31,94,39587.75
1690,25,595,29,71,39512.00
1695,25,532,28,63,39911.62
1700,25,488,33,105,40055.25
1705,25,586,29,189,40565.81
1710,25,582,29,68,40434.94
1715,25,603,30,67,39895.50
1720,25,592,29,67,39769.12
1725,25,634,30,66,39957.94
1730,25,555,33,62,40319.75
1735,25,455,28,69,40270.69
1741,25,615,32,67,40400.44
1746,25,613,33,69,40568.19
1751,25,546,41,70,40402.38
1756,25,578,42,73,40392.25
1761,25,567,35,57,40319.69
1766,25,577,36,76,39723.94
1771,25,609,36,89,39706.69
1776,25,558,36,304,39952.94
1781,25,601,34,59,39925.75
1786,25,539,37,198,40123.38
1791,25,468,33,54,40325.50
1796,30,1026,34,75,40565.75
1801,25,619,33,65,40263.69
1807,25,457,28,229,40280.69
1812,33,1151,27,64,40524.19
1817,33,1180,26,46,40607.00
1822,33,1251,29,70,41107.31
1827,33,1270,122,87,40673.06
1832,33,1400,29,110,40361.38
1837,33,1373,27,74,40454.81
1842,33,1324,32,81,40140.94
1847,33,1364,30,77,40141.62
1852,33,1210,30,69,40084.62
1857,33,1255,30,75,40388.69
1862,33,1231,30,91,40610.62
1868,33,1282,30,72,40726.25
1873,33,1379,32,62,40613.88
1878,33,1280,30,91,40723.81
1883,33,1174,29,71,40499.00
1888,33,1127,29,72,40412.88
1893,33,1133,29,85,40396.25
1898,25,589,31,380,40603.44
1904,25,588,32,55,40273.88
1909,25,566,30,67,40118.94
1914,25,596,33,65,39990.12
1919,25,486,32,435,39938.69
1924,25,605,31,55,39932.69
1929,25,558,31,445,40042.75
1934,25,602,36,62,39920.06
1939,25,535,32,68,39814.38
1944,25,599,33,64,39844.25
1949,25,542,30,82,39822.44
1954,25,566,31,103,39811.88
1959,25,494,30,59,39659.88
1965,25,605,31,216,39702.12
1970,25,599,33,70,39975.56
1975,25,570,32,155,40096.06
1980,25,554,32,83,40039.50
1985,25,659,34,85,40070.00
1990,25,626,33,69,40148.50
1995,25,597,32,72,39920.81
2000,25,647,34,69,39896.56
2005,25,657,35,65,39549.00
2010,25,609,35,14,39463.88
2015,25,645,33,85,39288.38
2020,25,615,32,59,39166.31
2025,25,649,31,72,39230.75
2030,25,588,31,107,39259.44
2035,25,634,33,67,39345.75
2041,25,668,33,60,39429.00
2046,25,670,30,87,39424.00
2051,25,576,31,92,39239.88
2056,25,656,29,85,39226.69
2061,25,624,30,58,39662.81
2066,25,613,33,72,39740.56
2071,25,610,31,65,39642.62
2076,25,624,31,260,39572.69
2081,25,652,31,78,39626.31
2086,25,656,31,61,39408.62
2091,25,538,31,62,39456.81
2096,25,615,28,65,39523.75
2102,25,571,27,71,40695.88
2107,25,601,28,77,39755.06
2112,25,621,26,114,39707.81
2117,25,655,28,89,39806.25
2122,25,568,30,72,39841.81
2127,25,617,30,62,39713.25
2132,25,597,28,63,39674.38
2137,25,627,26,70,39743.69
2142,25,553,27,188,39953.19
2147,25,645,29,98,40078.75
2152,25,590,32,182,40058.75
2157,25,605,32,106,39970.62
2162,25,637,30,55,39897.19
2167,25,675,28,66,39771.75
2172,25,654,27,127,39698.69
2177,25,656,28,65,39843.62
2183,25,523,26,110,39880.62
2188,25,623,29,60,39853.12
2193,25,642,25,243,40053.62
2198,25,644,27,61,39951.56
2203,25,649,27,73,39976.88
2208,25,646,27,104,40029.06
2213,25,640,29,180,39954.38
2218,25,576,30,211,40018.75
2223,25,644,29,191,40159.19
2228,25,660,30,66,39970.19
2233,25,515,30,57,39535.44
2238,25,636,29,345,39834.75
2243,25,627,31,195,39987.38
2249,25,602,30,87,40278.44
2254,25,614,29,75,39973.94
2259,25,648,30,164,39862.75
2264,25,676,29,113,39972.31
2269,25,596,29,246,39919.56
2274,25,644,31,263,39758.50
2279,25,612,28,69,39580.44
2284,25,661,30,76,39709.06
2289,25,621,26,83,39800.00
2294,25,647,32,78,39850.06
2300,25,651,32,71,39675.56
2305,25,590,28,75,39743.81
2310,25,670,28,61,39929.31
2315,25,640,27,110,39671.81
2320,25,607,26,63,39918.31
2325,25,571,27,63,39805.25
2330,30,1060,27,63,40528.06
2335,30,1136,29,77,40604.94
2340,25,671,28,69,39794.94
2346,25,648,26,80,39247.94
2351,25,514,27,62,39325.38
2356,25,647,27,83,39515.25
2361,25,730,27,89,39620.94
2366,25,603,28,59,39497.81
2371,25,620,27,71,39355.50
2376,25,642,27,325,39789.50
2381,25,612,27,65,39495.56
2386,25,646,27,105,39374.94
2391,25,685,27,70,39400.44
2396,25,692,29,65,39441.19
2401,33,1375,24,99,40426.06
2406,33,1456,27,69,40278.31
2412,33,1321,27,75,40231.56
2417,33,1348,32,73,40407.69
2422,33,1309,25,67,40300.81
2427,33,1424,28,72,40307.81
2432,33,1377,26,53,40538.25
2437,33,1314,29,78,40518.12
2442,33,1360,26,82,40560.31
2447,33,1415,27,74,40429.19
2452,33,1405,27,99,40375.44
2457,33,1320,29,105,40009.31
2462,33,1427,29,70,40208.56
2467,33,1364,25,88,40184.00
2472,33,1437,27,229,40476.62
2478,33,1438,27,54,40215.81
2483,33,1242,27,85,40098.25
2488,25,625,24,61,40399.06
2493,25,510,27,74,40197.94
2498,25,525,26,76,40111.81
2503,25,640,27,18,39743.31
2508,25,605,26,56,40060.81
2513,25,560,29,491,39825.56
2518,25,657,29,91,39720.50
2523,25,674,29,63,39466.06
2529,25,638,27,129,39211.06
2534,25,667,32,77,39112.06
2539,25,728,31,112,39362.62
2544,25,734,34,69,39605.94
2549,25,548,27,64,39652.69
2554,25,621,27,59,39456.12
2559,25,651,27,80,39464.62
2564,25,612,26,65,39463.06
2569,25,639,27,71,39505.06
2574,25,628,29,168,39540.44
2579,25,671,29,88,39749.25
2584,25,708,29,228,40002.00
2589,25,716,29,81,39841.44
2594,25,714,29,93,39849.00
2600,25,723,27,98,39983.50
2605,25,726,29,70,39802.31
2610,25,689,29,61,39788.75
2615,25,672,29,57,39838.44
2620,25,653,27,63,39680.25
2625,25,586,27,107,39358.19
2630,25,572,25,69,39413.81
2635,25,665,29,59,39627.75
2640,25,700,29,165,39693.69
2645,25,690,28,63,39580.38
2650,25,669,27,81,39419.69
2655,25,663,32,123,39527.44
2661,25,674,32,82,39620.88
2666,25,632,29,62,39479.44
2671,25,680,29,58,39571.38
2676,25,695,29,189,39701.00
2681,25,673,29,68,39393.44
2686,25,642,28,93,39036.62
2691,25,660,29,51,39395.94
2696,25,607,29,70,39584.44
2701,25,662,29,82,39479.81
2706,25,686,29,62,39480.12
2711,25,672,27,192,39803.88
2716,25,687,27,61,39739.88
2722,25,710,27,62,39818.12
2727,25,717,29,65,39888.56
2732,25,716,29,85,39967.50
2737,25,722,29,66,39932.50
2742,25,703,31,80,39938.00
2747,25,676,27,55,39784.12
2752,25,593,27,165,39758.81
2757,25,627,29,56,39495.94
2762,25,678,29,93,39472.38
2767,25,703,29,125,39580.50
2772,25,701,30,68,39340.12
2777,25,646,32,25,39265.38
2782,25,697,32,101,39640.94
2787,25,647,26,305,39716.69
2792,25,657,29,66,39503.19
2798,25,658,27,113,39454.38
2803,25,651,27,82,39398.12
2808,25,666,27,128,39288.12
2813,25,710,27,50,39457.75
2818,25,679,29,136,39679.19
2823,25,712,29,134,39734.31
2828,25,700,29,60,39567.88
2833,25,612,27,64,39151.44
2838,25,682,27,83,39278.00
2843,25,645,27,168,39705.44
2848,25,622,29,81,39566.19
2853,25,657,29,64,39488.38
2858,25,656,27,84,39531.12
2863,25,569,26,68,39154.38
2869,25,666,27,75,39397.94
2874,25,661,27,98,39421.00
2879,25,687,29,96,39510.81
2884,25,711,29,67,39327.19
2889,25,684,27,68,39316.19
2894,25,736,27,60,39356.75
2899,25,639,27,83,39489.25
2904,25,617,32,60,39470.56
2909,25,651,31,67,39508.25
2914,25,642,27,63,39340.12
2919,25,639,27,102,39178.94
2924,25,653,27,113,39320.06
2929,25,658,26,68,39363.00
2934,25,679,27,187,39447.69
2940,25,678,31,90,39295.06
2945,25,589,28,64,38921.25
2950,25,698,29,65,39172.56
2955,25,658,27,123,39262.69
2960,25,662,28,66,39316.81
2965,25,663,29,111,39267.25
2970,25,631,28,229,39505.69
2975,25,639,29,113,39258.75
2980,25,696,29,143,39470.06
2985,25,702,27,59,39178.25
2990,25,714,27,114,39349.44
2995,25,645,29,93,39266.94
3000,25,685,28,98,39207.94
3006,25,653,27,74,39208.06
3011,25,683,27,96,39423.81
3016,25,694,27,65,39316.88
3021,25,678,28,66,39373.50
3026,25,622,28,74,39401.94
3031,25,650,29,64,39285.62
3036,25,651,27,196,39684.19
3041,25,677,27,212,39902.50
3046,25,690,27,59,39838.44
3051,25,699,27,78,39814.75
3056,25,717,29,69,39867.31
3061,25,749,29,73,39995.69
3066,25,727,28,63,39780.44
3071,25,716,27,70,39685.62
3077,25,673,27,66,39418.75
3082,30,1063,26,65,40285.69
3087,25,609,30,457,40109.00
3092,25,703,30,67,40045.00
3097,27,698,24,348,40485.12
3102,33,1399,27,91,40652.06
3107,33,1491,27,110,40641.00
3112,33,1431,27,77,40615.25
3117,33,1449,29,82,40651.31
3122,33,1486,29,81,40595.50
3127,33,1470,27,55,40452.44
3132,33,1243,25,37,40083.06
3137,33,1211,133,108,40255.88
3143,33,1161,25,62,40135.00
3148,33,1223,28,87,40211.31
3153,33,1243,29,45,40320.06
3158,33,1173,25,77,41019.25
3163,33,1239,26,71,40381.38
3168,33,1242,25,60,40438.88
3173,33,1197,27,85,40208.56
3178,33,1216,29,79,40239.69
3183,25,525,27,62,40310.31
3188,25,646,27,78,40760.06
3193,25,681,27,58,40740.19
3199,25,689,27,815,40539.88
3204,25,625,26,122,40987.88
3209,25,613,26,477,40946.50
3214,25,544,27,697,40322.75
3219,25,654,27,191,39942.19
3224,25,555,29,320,41040.81
3229,25,669,29,168,40636.88
3234,25,554,29,56,41143.31
3240,25,613,31,217,40847.00
3245,25,660,28,64,40518.94
3250,25,630,26,59,40800.25
3255,25,640,27,61,40170.69
3260,25,669,27,84,40399.00
3265,25,669,27,64,40367.69
3270,25,659,29,160,40394.19
3275,25,662,29,205,40356.44
3280,25,638,27,207,40322.25
3285,25,601,24,56,40181.50
3290,25,550,27,74,40096.00
3296,25,626,25,47,39933.88
3301,25,630,29,58,40235.50
3306,25,657,27,71,40295.50
3311,25,613,27,66,40079.75
3316,25,668,32,72,40235.62
3321,25,609,28,87,40787.50
3326,25,623,30,174,40651.81
3331,25,536,28,342,40608.88
3336,25,642,29,97,40491.44
3341,25,636,29,286,40639.81
3346,25,590,27,69,40384.19
3351,25,625,29,94,40109.56
3357,25,518,29,68,40131.81
3362,25,606,31,100,40496.00
3367,25,666,27,62,40677.12
3372,25,687,27,60,40750.69
3377,25,670,27,67,40795.50
3382,25,665,27,73,40706.88
3387,25,654,31,182,40945.38
3392,25,639,31,60,41008.81
3397,25,657,28,172,40994.75
3402,25,616,29,206,40908.19
3408,25,688,29,64,40844.12
3413,25,667,29,80,40757.31
3418,25,649,31,66,40594.25
3423,25,570,26,64,40474.25
3428,25,629,27,58,40351.00
3433,25,637,25,203,40284.44
3438,25,589,27,67,40291.38
3443,25,593,27,182,40655.75
3448,25,616,31,100,40635.06
3453,25,597,29,240,40719.19
3458,25,642,29,53,40646.00
3464,25,651,29,284,40480.88
3469,25,652,26,63,40340.31
3474,25,617,27,174,40307.06
3479,25,559,28,61,40110.75
3484,25,670,27,196,40488.75
3489,25,643,27,218,40693.00
3494,25,567,32,62,40468.00
3499,25,644,29,108,40726.75
3504,25,617,28,173,40813.25
3509,25,702,31,81,40697.62
3515,25,703,29,68,40465.44
3520,25,642,29,61,40699.69
3525,25,645,29,67,40581.62
3530,25,648,29,73,40552.62
3535,25,558,26,67,40362.62
3540,25,676,31,71,40646.88
3545,25,653,28,60,40553.75
3550,25,612,28,212,40915.12
3555,25,592,29,67,40737.25
3560,25,565,33,154,40405.19
3565,30,1006,34,16,41101.44
3571,25,537,36,240,40673.19
3576,25,637,33,209,40709.69
3581,25,638,32,275,40931.69
3586,25,650,34,61,40768.00
3591,30,1067,29,52,41283.62
3596,30,1083,95,83,41475.62
3601,30,1085,44,76,41604.31
3606,30,985,44,81,41601.94
3611,30,1058,43,76,41623.94
3616,30,1063,44,199,41612.75
3621,25,624,42,1012,41647.31
3627,25,646,47,413,41479.31
3632,25,655,49,324,41383.31
3637,25,669,49,161,41351.31
3642,25,683,46,60,41279.31
3647,25,685,47,63,41139.56
3652,25,622,43,62,40899.56
3657,25,657,45,269,41077.38
3662,25,677,48,193,40997.38
3667,25,669,38,68,40813.38
3672,25,549,31,67,40586.00
3677,25,663,33,94,40581.94
3682,25,569,30,85,40535.50
3687,25,612,33,68,40626.88
3692,25,621,33,58,40639.81
3698,25,645,33,169,40821.00
3703,25,654,33,69,40753.62
3708,25,595,33,23,40353.00
3713,25,660,32,67,40736.31
3718,25,660,35,118,40555.44
3723,30,1016,32,61,41229.88
3728,25,671,32,240,41266.44
3733,25,676,37,66,41162.44
3738,25,690,37,60,41090.44
3743,26,646,32,262,41306.44
3748,33,1346,34,73,41686.12
3753,33,1323,34,94,41777.38
3758,33,1340,32,109,41722.19
3764,33,1401,33,51,41897.50
3769,33,1367,34,90,41998.44
3774,33,1268,34,242,41763.62
3779,33,1097,35,323,41795.75
3784,33,1237,34,212,42018.31
3789,33,1282,34,93,41684.25
3794,33,1164,31,67,41563.12
3799,33,1051,33,763,42097.25
3805,33,1116,33,51,41890.25
3810,33,1138,36,79,41714.81
3815,33,1080,31,141,41326.88
3820,33,1030,32,69,41458.75
3825,33,1214,31,98,41443.06
3830,25,587,34,50,41711.88
3836,25,555,33,155,41659.62
3841,25,663,33,5244,40493.94
3847,25,712,36,2706,32544.31
3852,25,733,36,1413,27856.38
3857,25,759,39,841,24587.75
3862,25,774,39,162,12737.31
3867,25,784,39,541,12619.00
3872,25,791,39,263,12540.81
3877,25,789,40,445,12475.19
3882,25,795,40,489,12419.62
3887,25,799,40,201,12386.44
3893,25,800,40,323,12313.31
3898,25,805,40,216,12254.88
3903,25,808,40,299,12237.19
3908,25,816,40,280,12205.19
3913,25,828,40,295,12189.19
3918,25,897,40,496,12117.19
3923,25,898,93,68,12037.19
3928,25,905,40,306,11989.12
3933,25,903,40,326,11957.12
3938,25,905,40,119,11853.12
3943,25,897,38,1137,10962.62
3948,25,900,43,689,10938.19
3954,25,902,43,474,10858.19
3959,25,903,43,527,10858.19
3964,25,907,45,395,10834.19
3969,25,903,45,450,10818.19
3974,25,614,34,54,10818.19
3979,25,665,35,207,10802.19
3984,25,687,35,67,10802.19
3989,25,540,37,64,10794.19
3995,30,1026,31,124,10778.19
4000,30,956,33,59,10770.19
4005,34,1548,33,348,10863.44
4010,25,627,34,456,10961.50
4015,34,1665,33,95,10905.50
4020,30,1115,33,236,10881.50
4025,25,662,37,413,10881.50
4030,25,684,37,271,10881.50
4036,25,679,35,388,10841.50
4041,30,1102,35,69,10833.50
4046,30,1146,33,351,10737.50
4051,30,924,35,113,10688.06
4056,30,1035,35,490,10694.50
4062,30,999,32,476,10686.50
4067,30,1085,35,64,10662.50
4072,30,1055,32,79,10659.44
4077,30,1132,34,61,10659.44
4082,30,1107,34,160,10651.44
4087,39,1863,29,62,10789.31
4092,39,1880,31,207,11121.56
4097,32,1125,38,65,11041.56
4103,39,1956,32,276,11025.56
4108,39,1982,35,115,11058.56
4113,30,1077,37,475,11034.56
4118,39,2080,30,84,11010.56
4123,35,1481,33,449,11010.56
4128,39,1866,32,69,11220.62
4133,39,2013,32,604,12354.00
4138,30,1079,35,214,12210.00
4144,30,928,32,371,12892.19
4149,30,1057,34,116,12804.19
4154,39,2195,32,64,12905.50
4159,39,1924,33,75,12953.00
4164,30,1121,34,597,12913.00
4169,36,1579,34,98,13202.00
4174,36,1697,34,55,13244.12
4180,30,1008,35,307,13313.06
4185,30,1056,34,152,13340.44
4190,30,1100,35,329,13300.44
4195,31,744,27,109,15157.44
4200,35,887,25,152,18610.06
4206,35,963,29,538,21955.56
4211,30,741,32,110,23238.62
4216,30,803,35,97,23195.12
4221,30,837,32,283,23090.94
4226,30,855,32,90,23253.81
4231,30,882,34,87,23163.56
4237,30,909,32,62,23059.56
4242,30,929,32,141,23287.38
4247,30,837,34,64,22953.44
4252,30,887,29,118,22951.06
4257,30,748,30,62,22514.56
4262,30,846,33,75,22828.62
4267,30,873,33,220,22621.38
4272,30,817,28,142,22690.00
4278,30,779,28,65,22551.31
4283,30,794,31,81,22705.44
4288,30,808,30,149,22686.12
4293,30,791,33,81,22463.12
4298,30,877,32,92,22848.44
4303,30,751,30,654,22850.00
4308,30,794,31,108,22356.50
4313,30,739,30,210,22518.19
4318,35,1103,33,244,23472.56
4324,30,814,33,433,23341.88
4329,30,874,33,134,23244.12
4334,30,840,36,285,23115.06
4339,30,814,32,61,23230.44
4344,30,834,32,339,23455.94
4349,30,838,33,96,23431.50
4354,30,854,34,267,23266.69
4359,30,902,33,81,23218.69
4364,30,841,33,218,23240.69
4370,30,883,33,72,23215.56
4375,30,766,33,371,23142.31
4380,30,707,78,395,23481.31
4385,30,848,32,266,23072.38
4390,31,833,33,101,23703.25
4395,35,1354,33,566,24160.62
4400,30,855,33,62,23464.62
4405,30,910,33,120,23424.25
4410,30,885,33,328,23384.25
4416,30,888,35,66,23344.25
4421,30,911,33,159,23322.19
4426,30,876,30,115,23305.50
